chr	start	end
chr1	9737697	9738860
chr1	9745555	9745940
chr1	9746320	9746411
chr1	9748662	9748931
chr1	9762962	9763412
chr1	9766234	9766711
chr1	9770296	9770996
chr1	9773748	9773904
chr1	9774124	9774454
chr1	9775221	9775634
chr1	9777636	9777781
chr1	9782601	9782767
chr1	9787742	9789526
chr1	9789869	9790161
chr1	9794661	9794905
chr1	9795541	9795691
chr1	9796003	9796270
chr1	9796949	9797058
chr1	9800139	9800307
chr1	9800605	9800846
chr1	9801516	9801681
chr1	9802195	9802350
chr1	9805150	9805431
chr1	9806005	9806223
chr1	9807144	9807984
chr1	9809765	9809999
chr1	9812813	9813341
chr1	9813737	9814081
chr1	9815257	9815429
chr1	9816583	9816714
chr1	9818593	9819060
chr1	9820765	9821036
chr1	9823217	9823835
chr1	9824283	9824538
chr1	9828051	9828161
chr1	9828881	9829165
chr1	9831107	9831276
chr1	9832358	9832661
chr1	9837552	9838819
chr1	9842948	9843080
chr1	9844129	9844263
chr1	9845184	9845439
chr1	9845700	9845844
chr1	9847866	9847957
chr1	9849199	9849968
chr1	9850816	9851110
chr1	9851791	9851990
chr1	9852483	9852676
chr1	9855430	9855708
chr1	9855910	9855982
chr1	9862044	9862158
chr1	9864938	9865186
chr1	9865798	9866190
chr1	9866734	9867054
chr1	9867494	9867711
chr1	9868396	9868808
chr1	9873468	9873843
chr1	9874261	9874336
chr1	9878544	9878688
chr1	9879875	9880070
chr1	9882756	9882832
chr1	9883354	9883521
chr1	9885304	9885677
chr1	9887604	9888202
chr1	9891077	9891488
chr1	9891724	9891812
chr1	9893537	9893765
chr1	9894121	9894350
chr1	9895364	9895433
chr1	9896866	9897071
chr1	9898670	9899302
chr1	9910235	9910308
chr1	9911557	9911862
chr1	9927483	9928133
chr1	9928697	9929263
chr1	9932995	9933230
chr1	9933787	9934625
chr1	9937819	9937936
chr1	9939487	9940345
chr1	9947247	9947837
chr1	9957086	9958523
chr1	9959230	9959412
chr1	9965275	9965381
chr1	9971845	9971990
chr1	9973090	9973494
chr1	9975927	9976166
chr1	9978519	9978958
chr1	9979971	9980305
chr1	9981663	9982200
chr1	9987820	9988113
chr1	9997257	9997559
chr1	9998818	9999562
chr1	10009308	10009410
chr1	10012336	10012390
chr1	10013086	10013253
chr1	10013905	10014419
chr1	10027610	10028529
chr1	10029531	10030389
chr1	10039324	10039911
chr1	10044346	10044733
chr1	10051093	10051313
chr1	10061379	10061690
chr1	10062545	10063103
chr1	10065004	10065125
chr1	10069441	10069683
chr1	10077528	10077705
chr1	10079540	10080056
chr1	10086337	10086578
chr1	10092388	10092560
chr1	10098953	10099732
chr1	10104168	10104454
chr1	10104862	10105192
chr1	10105795	10105915
chr1	10117022	10117094
chr1	10119100	10119623
chr1	10120695	10121179
chr1	10121919	10122306
chr1	10123398	10123593
chr1	10123925	10124200
chr1	10129580	10129905
chr1	10131569	10131670
chr1	10133029	10133189
chr1	10137899	10138088
chr1	10155175	10155452
chr1	10167867	10168142
chr1	10192490	10192696
chr1	10221955	10223694
chr1	10237961	10238143
chr1	10245476	10245648
chr1	10275537	10275796
chr1	10315478	10316255
chr1	10319440	10319547
chr1	10983560	10983946
chr1	11319575	11319796
chr1	11404032	11404552
chr1	12708378	12708730
chr1	12854242	12854483
chr1	12855321	12855538
chr1	12864392	12864523
chr1	12865486	12866004
chr1	12980394	12980807
chr1	12982173	12982948
chr1	13040427	13040642
chr1	13042240	13042513
chr1	13093940	13094322
chr1	13106470	13106645
chr1	13108024	13108228
chr1	13124334	13124745
chr1	13128419	13128478
chr1	13138510	13138721
chr1	13144417	13145217
chr1	13178424	13178716
chr1	13193774	13194291
chr1	13194604	13195103
chr1	13204809	13205022
chr1	13206389	13206527
chr1	13214966	13215091
chr1	13216552	13216615
chr1	13217332	13217538
chr1	13224443	13224979
chr1	13231034	13231657
chr1	13234676	13235519
chr1	13236197	13236461
chr1	13246016	13246589
chr1	13247600	13247654
chr1	13249364	13250135
chr1	13253280	13253391
chr1	13253613	13253729
chr1	13257362	13257733
chr1	13278929	13279622
chr1	13280149	13280341
chr1	13283511	13283812
chr1	13285795	13286058
chr1	13287619	13287670
chr1	13291274	13292394
chr1	13294008	13294485
chr1	13295156	13295383
chr1	13306637	13306834
chr1	13313464	13313848
chr1	13314848	13315017
chr1	13319755	13319947
chr1	13322568	13323091
chr1	13325897	13326760
chr1	13332648	13332867
chr1	13337251	13337795
chr1	13343046	13343198
chr1	13344032	13344190
chr1	13345928	13345991
chr1	13348917	13349317
chr1	13350631	13351491
chr1	13362267	13364834
chr1	13380272	13380462
chr1	13416355	13417391
chr1	13418118	13418534
chr1	13454556	13454608
chr1	13490772	13490831
chr1	13504068	13504161
chr1	13521431	13522009
chr1	13523087	13523337
chr1	13551523	13552013
chr1	13556216	13556875
chr1	13558791	13559291
chr1	13563845	13565322
chr1	13579083	13580429
chr1	13588950	13589219
chr1	13633120	13633266
chr1	13638048	13638212
chr1	13649763	13650990
chr1	13696356	13696811
chr1	13761204	13761358
chr1	13779491	13779683
chr1	13830236	13830301
chr1	14299679	14300308
chr1	14474348	14475152
chr1	14496559	14497580
chr1	14745325	14745753
chr1	14915018	14915176
chr1	15108643	15108943
chr1	15276543	15277227
chr1	15781129	15781581
chr1	15781775	15782428
chr1	15795362	15796697
chr1	15804220	15804505
chr1	15817752	15818328
chr1	15831150	15831543
chr1	15882457	15882992
chr1	15925825	15926419
chr1	16082900	16083774
chr1	16086866	16087663
chr1	16088613	16088886
chr1	16093827	16096456
chr1	16106704	16106952
chr1	16108133	16108468
chr1	16115754	16116054
chr1	16218444	16218617
chr1	16225159	16225417
chr1	16239299	16239346
chr1	16423629	16423876
chr1	16495649	16495746
chr1	16508713	16510243
chr1	16537059	16537160
chr1	16554530	16554672
chr1	16591111	16591303
chr1	16592747	16593053
chr1	16593841	16594355
chr1	16597276	16597425
chr1	16608407	16609824
chr1	16630062	16630456
chr1	16632100	16632493
chr1	16643300	16643769
chr1	16646416	16647589
chr1	16655027	16656061
chr1	16677861	16679225
chr1	16679559	16679646
chr1	16710883	16711200
chr1	16735979	16736481
chr1	16740057	16740106
chr1	17086887	17088295
chr1	17113024	17113169
chr1	17113653	17113771
chr1	17135441	17135776
chr1	17153829	17154018
chr1	17717310	17717577
chr1	18003150	18003322
chr1	20122201	20122525
chr1	20123860	20124033
chr1	20125842	20125966
chr1	20468040	20468236
chr1	20784747	20785723
chr1	20787245	20787406
chr1	20787728	20787935
chr1	20791121	20791452
chr1	20793360	20794179
chr1	20795397	20795570
chr1	20797357	20798149
chr1	20801883	20802583
chr1	20809763	20810912
chr1	20822652	20823602
chr1	20838301	20838355
chr1	20880297	20881621
chr1	20902787	20902922
chr1	20923654	20923939
chr1	20929070	20929543
chr1	20941319	20942119
chr1	20984512	20984665
chr1	20987300	20987568
chr1	20991448	20991521
chr1	20998306	20998586
chr1	21004748	21004822
chr1	21034863	21035427
chr1	21038575	21038961
chr1	21039250	21039300
chr1	21041936	21042733
chr1	21060163	21060324
chr1	21068914	21069860
chr1	21079741	21080378
chr1	21091248	21092084
chr1	21122541	21122906
chr1	21151840	21152134
chr1	21156201	21156981
chr1	21195367	21195415
chr1	21196655	21196978
chr1	21197783	21198322
chr1	21198615	21198911
chr1	21208404	21209141
chr1	21221894	21222317
chr1	21230358	21230748
chr1	21261494	21261963
chr1	21306604	21306838
chr1	21319277	21319349
chr1	21323407	21324083
chr1	21334370	21334836
chr1	21401404	21401793
chr1	21819962	21820500
chr1	21950582	21952592
chr1	21953134	21953426
chr1	22259207	22259361
chr1	22346429	22346562
chr1	22540089	22540787
chr1	22627799	22627929
chr1	22812485	22813298
chr1	23068816	23069270
chr1	23152962	23153053
chr1	23170348	23170751
chr1	23191535	23191819
chr1	23194395	23194927
chr1	23235492	23235569
chr1	23252431	23252488
chr1	23252734	23253044
chr1	23262596	23263971
chr1	23270729	23271263
chr1	23274821	23275223
chr1	23276726	23276801
chr1	23289080	23290250
chr1	23298596	23298723
chr1	23314758	23314958
chr1	23315171	23315279
chr1	23321691	23323369
chr1	23327755	23328484
chr1	23331033	23331249
chr1	23342459	23343156
chr1	23343569	23343769
chr1	23351458	23351644
chr1	23358840	23359080
chr1	23368364	23369462
chr1	23372687	23372756
chr1	23378190	23378392
chr1	23378609	23378792
chr1	23380680	23381298
chr1	23389452	23390574
chr1	23395630	23395733
chr1	23396964	23397348
chr1	23401274	23401719
chr1	23403342	23403794
chr1	23406463	23407139
chr1	23408974	23409022
chr1	23409390	23410075
chr1	23418515	23418732
chr1	23424155	23425123
chr1	23433100	23433784
chr1	23436475	23436792
chr1	23449672	23449882
chr1	23501881	23502717
chr1	23531554	23531609
chr1	23538525	23539776
chr1	23541225	23541713
chr1	23546564	23546865
chr1	23768705	23770246
chr1	23799727	23800140
chr1	23833709	23834401
chr1	23843579	23843791
chr1	23844670	23844772
chr1	23848736	23848988
chr1	23850344	23850444
chr1	23891110	23891996
chr1	23900344	23900781
chr1	23904112	23904231
chr1	23905907	23906819
chr1	23909717	23910637
chr1	23913035	23913198
chr1	23913947	23914102
chr1	23917307	23917493
chr1	23917986	23918037
chr1	23922277	23923040
chr1	23928384	23929496
chr1	23942138	23942342
chr1	23958148	23958209
chr1	23965525	23966571
chr1	23973016	23973666
chr1	23974931	23975299
chr1	24005074	24005769
chr1	24005969	24006063
chr1	24012010	24012779
chr1	24040864	24041075
chr1	24052345	24052514
chr1	24106515	24107625
chr1	24141699	24141959
chr1	24144099	24144332
chr1	24256096	24256231
chr1	24309658	24309769
chr1	24593555	24593657
chr1	24685065	24686111
chr1	24740097	24740489
chr1	24741223	24741514
chr1	24756100	24756668
chr1	24758424	24758510
chr1	25285548	25285660
chr1	25567362	25567607
chr1	25886871	25887032
chr1	25887283	25887474
chr1	26742823	26743562
chr1	30835482	30835665
chr1	30837268	30837335
chr1	30857750	30857913
chr1	30858441	30859030
chr1	30864940	30865325
chr1	30876397	30876573
chr1	30904233	30904586
chr1	30908845	30909859
chr1	30924615	30925009
chr1	30929555	30931131
chr1	30960507	30960875
chr1	30977761	30977922
chr1	30994408	30994853
chr1	30995866	30996138
chr1	30996454	30996877
chr1	30997601	30997746
chr1	31005709	31007276
chr1	31090782	31091198
chr1	31129900	31130147
chr1	31151696	31152142
chr1	31153238	31153457
chr1	31210732	31211044
chr1	31848909	31848958
chr1	31849184	31850342
chr1	31850581	31851325
chr1	32229223	32229817
chr1	33524889	33525372
chr1	33527856	33528058
chr1	33550408	33550612
chr1	33555939	33555992
chr1	33556531	33557065
chr1	33561336	33561391
chr1	33571342	33571458
chr1	33572399	33572532
chr1	33574119	33574399
chr1	33578793	33578849
chr1	33580935	33581247
chr1	33582576	33582716
chr1	33586364	33586445
chr1	33587958	33588530
chr1	33593391	33593702
chr1	33598542	33599098
chr1	33600694	33600949
chr1	33608419	33608902
chr1	33620155	33620567
chr1	33621088	33621328
chr1	33621723	33621992
chr1	33622521	33623113
chr1	33630693	33631841
chr1	33632054	33632184
chr1	33636895	33637183
chr1	33637929	33638452
chr1	33641186	33641280
chr1	33642026	33642384
chr1	33646384	33646858
chr1	33652381	33652680
chr1	33654039	33654171
chr1	33655488	33655826
chr1	33658102	33658270
chr1	33659329	33659476
chr1	33661071	33661756
chr1	33666981	33667813
chr1	33671420	33671516
chr1	33673678	33673908
chr1	33676956	33677359
chr1	33678752	33678883
chr1	33681653	33682195
chr1	33683700	33684368
chr1	33687615	33687788
chr1	33688019	33688387
chr1	33693304	33693826
chr1	33694687	33695146
chr1	33696016	33696360
chr1	33699403	33699499
chr1	33700163	33700333
chr1	33702596	33702889
chr1	33705902	33706496
chr1	33706757	33707721
chr1	33709247	33709378
chr1	33719974	33720425
chr1	33722551	33722789
chr1	33726207	33727614
chr1	33728899	33729535
chr1	33741394	33741721
chr1	33766446	33766929
chr1	33767444	33767803
chr1	33776458	33777398
chr1	33782406	33782476
chr1	33789603	33790204
chr1	33790792	33791287
chr1	33795439	33796634
chr1	33799620	33800170
chr1	33801177	33801290
chr1	33806083	33806226
chr1	33812046	33812557
chr1	33812762	33815032
chr1	33815315	33815586
chr1	33820955	33821514
chr1	33835474	33835828
chr1	33849576	33849646
chr1	33851359	33851579
chr1	33870286	33871715
chr1	33940329	33940679
chr1	33949575	33949972
chr1	33963892	33965197
chr1	33982199	33982687
chr1	34001705	34002405
chr1	34021610	34021722
chr1	34023231	34023596
chr1	34053125	34053601
chr1	34062562	34063627
chr1	34067826	34068858
chr1	34117907	34118202
chr1	34125162	34125517
chr1	34133972	34134043
chr1	34160421	34161078
chr1	34177415	34178265
chr1	34179818	34180393
chr1	34184700	34184845
chr1	34221504	34221608
chr1	34246911	34247235
chr1	34260218	34260292
chr1	34275113	34275615
chr1	34280843	34281002
chr1	34293098	34294735
chr1	34300400	34300509
chr1	34316977	34317226
chr1	34334459	34334557
chr1	34340311	34340995
chr1	34347076	34347551
chr1	34349960	34350150
chr1	34354422	34354694
chr1	34357321	34357943
chr1	34360368	34360790
chr1	34362892	34364083
chr1	34391672	34392068
chr1	34466851	34467130
chr1	34468232	34468393
chr1	34489923	34490415
chr1	34490704	34491221
chr1	34491578	34491975
chr1	34495984	34497126
chr1	34502546	34502668
chr1	34516109	34517085
chr1	34519565	34520064
chr1	34522292	34522657
chr1	34529292	34530510
chr1	34536133	34536389
chr1	34537670	34537874
chr1	34541433	34541592
chr1	34542368	34542907
chr1	34546816	34547538
chr1	34560270	34560578
chr1	34562085	34562273
chr1	34567014	34567781
chr1	34568013	34568306
chr1	34570829	34571045
chr1	34571377	34571648
chr1	34573190	34573925
chr1	34593681	34594321
chr1	34595501	34595639
chr1	34636148	34636807
chr1	34659150	34659559
chr1	34699431	34699718
chr1	34734752	34735270
chr1	34795170	34795768
chr1	34807262	34807706
chr1	34850240	34850607
chr1	34858174	34859366
chr1	34868325	34868543
chr1	34876316	34876811
chr1	34877923	34878046
chr1	34880502	34880664
chr1	34881560	34881712
chr1	34887452	34887597
chr1	34888118	34888228
chr1	34899314	34900409
chr1	34906503	34907408
chr1	34908027	34908127
chr1	34915530	34915988
chr1	34923692	34924366
chr1	34934566	34934777
chr1	34948472	34948854
chr1	34951048	34951131
chr1	34953934	34954008
chr1	35442272	35442463
chr1	35862733	35862784
chr1	35896426	35896510
chr1	35926404	35927116
chr1	35932383	35932640
chr1	35938417	35938514
chr1	35946945	35947065
chr1	35947369	35947493
chr1	35983086	35984018
chr1	35991867	35992300
chr1	35998610	35998682
chr1	36032618	36033062
chr1	36033441	36033600
chr1	36042524	36042691
chr1	36069326	36069394
chr1	36074011	36074249
chr1	36087228	36087593
chr1	36111156	36112022
chr1	36118949	36119389
chr1	36121670	36122244
chr1	36124788	36126957
chr1	36131833	36132378
chr1	36132629	36132676
chr1	36139116	36139767
chr1	36147339	36148588
chr1	36152370	36153116
chr1	36157987	36158277
chr1	36159493	36159584
chr1	36161925	36162302
chr1	36162760	36162877
chr1	36163476	36163528
chr1	36166240	36166642
chr1	36171453	36171646
chr1	36172619	36173025
chr1	36175006	36175226
chr1	36179799	36180009
chr1	36185874	36186312
chr1	36187169	36187623
chr1	36188661	36189081
chr1	36191377	36191699
chr1	36196548	36196609
chr1	36197001	36197215
chr1	36198243	36198442
chr1	36202051	36202429
chr1	36205942	36206709
chr1	36217955	36218632
chr1	36218978	36219154
chr1	36219560	36219940
chr1	36250046	36250131
chr1	36261374	36261549
chr1	36271009	36272073
chr1	36300566	36301499
chr1	36309618	36310127
chr1	36311525	36311898
chr1	36318901	36319312
chr1	36320822	36321735
chr1	36329947	36330683
chr1	36332761	36333230
chr1	36334237	36334555
chr1	36335981	36336498
chr1	36342754	36342880
chr1	36348852	36348905
chr1	36351314	36351453
chr1	36353194	36353993
chr1	36354221	36354457
chr1	36364225	36365615
chr1	36371752	36372238
chr1	36378599	36379079
chr1	36380830	36381280
chr1	36390208	36390502
chr1	36391409	36391621
chr1	36393115	36393179
chr1	36394048	36394097
chr1	36400823	36400923
chr1	36401940	36402028
chr1	36403018	36403642
chr1	36409117	36409346
chr1	36413746	36413943
chr1	36414279	36414486
chr1	36424997	36426365
chr1	36428790	36429046
chr1	36435751	36435895
chr1	36437256	36437351
chr1	36439386	36439768
chr1	36444321	36444377
chr1	36459721	36460032
chr1	36461282	36461427
chr1	36464818	36464965
chr1	36484571	36485073
chr1	36487215	36487275
chr1	36489963	36490014
chr1	36492200	36492340
chr1	36501467	36502488
chr1	36511430	36511672
chr1	36513586	36513932
chr1	36514611	36515163
chr1	36515959	36516297
chr1	36518800	36518903
chr1	36527938	36529053
chr1	36537249	36537509
chr1	36539178	36539424
chr1	36542378	36542457
chr1	36545082	36545172
chr1	36549260	36549688
chr1	36558056	36558618
chr1	36568281	36569757
chr1	36575878	36576049
chr1	36577560	36577726
chr1	36578166	36578274
chr1	36589348	36589437
chr1	36591600	36591820
chr1	36595929	36596342
chr1	36603624	36604488
chr1	36613296	36615230
chr1	36619127	36619321
chr1	36619744	36620216
chr1	36626706	36626781
chr1	36628497	36628819
chr1	36629723	36629897
chr1	36637012	36638209
chr1	36646168	36646444
chr1	36653124	36653189
chr1	36663645	36664143
chr1	36665397	36665588
chr1	36670098	36670207
chr1	36686921	36687012
chr1	36691734	36692224
chr1	36698599	36698962
chr1	36701054	36701905
chr1	36713170	36713303
chr1	36714826	36715977
chr1	36721153	36721753
chr1	36727005	36727637
chr1	36727977	36728525
chr1	36740871	36741547
chr1	36747912	36749183
chr1	36754397	36754654
chr1	36755204	36755500
chr1	36765956	36767207
chr1	36794113	36794571
chr1	36801286	36801748
chr1	36802523	36802648
chr1	36803506	36803731
chr1	36813433	36813805
chr1	36819937	36820070
chr1	36821376	36821491
chr1	36828123	36828405
chr1	36835746	36835891
chr1	36839468	36839792
chr1	36841440	36841941
chr1	36843198	36843394
chr1	36846929	36847984
chr1	36853646	36853988
chr1	36855339	36855661
chr1	36858303	36858739
chr1	36862697	36863005
chr1	36864592	36865179
chr1	36870453	36870694
chr1	36875572	36875661
chr1	36879044	36879144
chr1	36881566	36881991
chr1	36887839	36888309
chr1	36889910	36890193
chr1	36892495	36892831
chr1	36893470	36893572
chr1	36897803	36898024
chr1	36900077	36900778
chr1	36901670	36902101
chr1	36902782	36902909
chr1	36909156	36909249
chr1	36913826	36914100
chr1	36916458	36916653
chr1	36917413	36917544
chr1	36918569	36918902
chr1	36921264	36921974
chr1	36925383	36925613
chr1	36927546	36927645
chr1	36928779	36928894
chr1	36931753	36932339
chr1	36934035	36934431
chr1	36934971	36935102
chr1	36936781	36936900
chr1	36940776	36941600
chr1	36947023	36947093
chr1	36949429	36949710
chr1	36950136	36950275
chr1	36951141	36951368
chr1	36960136	36960384
chr1	36960831	36961594
chr1	36962126	36962458
chr1	36965260	36965718
chr1	36969242	36969338
chr1	36971406	36971584
chr1	36974429	36974538
chr1	36976415	36977819
chr1	36979414	36979653
chr1	36983757	36983869
chr1	36985319	36985891
chr1	36990875	36991521
chr1	36995914	36997063
chr1	37000378	37000867
chr1	37006551	37006794
chr1	37017785	37017911
chr1	37044153	37044206
chr1	37070015	37070074
chr1	37083142	37083242
chr1	37085839	37086505
chr1	37087672	37087962
chr1	37098039	37098321
chr1	37307448	37307746
chr1	37329236	37329597
chr1	37356409	37357295
chr1	37364623	37364800
chr1	37371710	37371924
chr1	37374218	37374530
chr1	37383673	37383731
chr1	37388565	37389111
chr1	37390759	37390814
chr1	37393025	37393368
chr1	37398359	37398445
chr1	37398788	37399041
chr1	37400075	37400629
chr1	37401362	37401686
chr1	37407724	37408365
chr1	37414617	37414686
chr1	37430192	37430241
chr1	37443553	37443630
chr1	37449980	37450137
chr1	37450568	37450667
chr1	37452052	37452261
chr1	37458446	37458968
chr1	37476074	37476932
chr1	37486137	37487824
chr1	37493164	37493873
chr1	37499456	37500715
chr1	37505166	37505438
chr1	37523604	37523712
chr1	37528292	37528742
chr1	37534824	37537062
chr1	37538350	37538499
chr1	37541545	37541983
chr1	37548592	37549259
chr1	37552708	37553754
chr1	37556235	37556393
chr1	37565722	37566193
chr1	37576404	37576570
chr1	37580358	37580427
chr1	37581671	37582060
chr1	37582901	37582956
chr1	37597463	37598414
chr1	37618951	37619067
chr1	37642759	37643292
chr1	37666399	37666593
chr1	37673787	37673837
chr1	37681114	37681361
chr1	37691473	37691954
chr1	37693172	37693268
chr1	37695937	37696441
chr1	37735172	37735590
chr1	37747974	37748454
chr1	37776404	37777040
chr1	37794014	37794156
chr1	37801625	37801939
chr1	37853991	37854180
chr1	37921385	37922389
chr1	37928601	37929692
chr1	37940452	37940631
chr1	37941194	37941745
chr1	37946230	37947697
chr1	37948287	37948488
chr1	37960139	37960273
chr1	37988814	37988917
chr1	38042585	38043386
chr1	38053592	38055437
chr1	38056446	38056672
chr1	38062049	38062167
chr1	38068397	38068974
chr1	38069316	38069832
chr1	38071316	38071795
chr1	38079759	38079993
chr1	38084294	38084435
chr1	38093879	38094177
chr1	38099605	38099962
chr1	38102833	38103034
chr1	38103882	38104530
chr1	38105603	38105674
chr1	38106461	38106701
chr1	38107738	38107921
chr1	38109098	38109272
chr1	38110010	38110090
chr1	38110853	38110907
chr1	38111445	38111721
chr1	38119371	38119431
chr1	38133635	38133871
chr1	38145199	38145331
chr1	38150995	38151533
chr1	38160642	38160923
chr1	38166744	38166938
chr1	38167356	38167455
chr1	38185867	38187406
chr1	38188149	38188225
chr1	38197844	38198006
chr1	38242239	38242616
chr1	38259667	38259878
chr1	38298374	38298948
chr1	38299468	38299841
chr1	38305070	38305184
chr1	38309699	38309771
chr1	38365442	38365607
chr1	38377957	38378021
chr1	38419292	38419510
chr1	38499252	38499794
chr1	38503048	38503415
chr1	38504218	38504992
chr1	38524287	38524568
chr1	38527999	38528124
chr1	38534871	38535537
chr1	38544682	38544908
chr1	38556186	38556882
chr1	38560469	38560925
chr1	38564641	38564809
chr1	38619480	38620084
chr1	38683691	38684940
chr1	38721650	38721712
chr1	38751008	38751271
chr1	38792608	38792724
chr1	38823743	38824945
chr1	38834466	38834630
chr1	38841943	38842023
chr1	38844281	38844739
chr1	38892731	38892845
chr1	38954589	38955060
chr1	38959543	38959628
chr1	38993750	38993799
chr1	39044060	39045056
chr1	39054522	39054733
chr1	39057941	39058413
chr1	39067610	39067822
chr1	39082249	39082437
chr1	39146746	39147082
chr1	39162375	39162581
chr1	39213747	39213911
chr1	39249418	39249986
chr1	39250764	39251373
chr1	39263712	39264030
chr1	39397491	39397846
chr1	39401808	39401961
chr1	39418707	39419579
chr1	39424392	39425200
chr1	39430143	39430374
chr1	39431051	39431559
chr1	39433653	39433724
chr1	39435896	39436368
chr1	39439656	39439718
chr1	39444907	39445443
chr1	39446197	39446567
chr1	39448996	39449489
chr1	39450229	39450825
chr1	39453237	39453513
chr1	39460826	39461109
chr1	39465536	39465747
chr1	39474652	39475206
chr1	39475875	39475957
chr1	39477409	39477695
chr1	39484977	39485334
chr1	39486774	39487755
chr1	39493623	39493946
chr1	39495241	39495974
chr1	39496911	39497238
chr1	39503045	39503550
chr1	39506328	39506727
chr1	39510599	39511416
chr1	39511650	39511871
chr1	39512344	39512771
chr1	39517470	39517781
chr1	39519704	39520276
chr1	39522779	39522875
chr1	39525161	39525250
chr1	39525950	39526161
chr1	39527904	39528636
chr1	39534910	39536071
chr1	39556375	39556728
chr1	39559993	39560317
chr1	39561229	39561319
chr1	39564365	39564419
chr1	39566701	39566807
chr1	39579374	39579744
chr1	39584230	39584742
chr1	39587071	39587546
chr1	39592241	39593184
chr1	39607712	39607834
chr1	39626190	39626249
chr1	39632860	39634537
chr1	39659489	39659710
chr1	39671329	39672388
chr1	39680637	39680907
chr1	39693538	39693869
chr1	39701186	39702438
chr1	39703235	39703542
chr1	39707294	39708097
chr1	39721086	39721335
chr1	39726853	39726961
chr1	39727221	39727803
chr1	39728207	39728430
chr1	39729423	39729930
chr1	39731816	39732228
chr1	39735885	39736156
chr1	39736871	39737005
chr1	39737283	39737802
chr1	39742639	39743104
chr1	39744634	39744732
chr1	39752208	39752600
chr1	39758159	39758422
chr1	39770786	39771479
chr1	39777575	39778047
chr1	39790922	39791851
chr1	39792237	39793460
chr1	39811019	39811929
chr1	39818140	39819151
chr1	39829278	39829829
chr1	39867255	39867700
chr1	39870060	39870268
chr1	39899265	39899450
chr1	39908100	39908148
chr1	39912913	39913249
chr1	39923043	39924095
chr1	39924762	39925417
chr1	39925815	39926169
chr1	39950093	39950307
chr1	39952189	39952507
chr1	39956989	39958432
chr1	39968293	39968796
chr1	39979637	39980012
chr1	39980247	39980669
chr1	39981908	39982129
chr1	39993133	39993681
chr1	39994401	39994932
chr1	40005957	40007389
chr1	40012270	40012599
chr1	40014724	40015222
chr1	40020816	40021380
chr1	40022493	40022615
chr1	40025959	40026340
chr1	40033738	40034163
chr1	40040029	40040113
chr1	40057940	40058153
chr1	40059126	40059339
chr1	40142304	40143257
chr1	40158484	40158704
chr1	40172063	40172563
chr1	40173194	40173541
chr1	40174561	40174699
chr1	40196778	40196989
chr1	40220352	40220561
