LongTable-checkbox,lineage1,lineage2,lineage3,depmapId,displayName, Primary Disease
TRUE,Lymphocyte,Non Hodgkin Lymphoma,B-cell Primary Effusion,ACH-002214,BC1,Lymphoma
TRUE,Lymphocyte,Non Hodgkin Lymphoma,B-cell Primary Effusion,ACH-002215,BC3,Lymphoma
TRUE,Urinary Tract,Bladder Carcinoma,Bladder Transitional Cell,ACH-000593,BC3C,Bladder Cancer
TRUE,Lymphocyte,Non Hodgkin Lymphoma,B-cell,ACH-000923,BCP1,Lymphoma
TRUE,Thyroid,Thyroid Carcinoma,Papillary,ACH-000456,BCPAP,Thyroid Cancer
TRUE,Blood,AML,M5,ACH-000080,BDCM,Leukemia
TRUE,Blood,ALL,T-cell,ACH-002216,BE13,Leukemia
TRUE,Peripheral Nervous System,Neuroblastoma,,ACH-002217,BE2M17,Neuroblastoma
TRUE,Central Nervous System,Glioma,,ACH-001016,BECKER,Brain Cancer
TRUE,Lung,NSCLC,,ACH-000603,BEN,Lung Cancer
TRUE,Urinary Tract,Bladder Carcinoma,Bladder Transitional Cell,ACH-000802,BFTC905,Bladder Cancer
TRUE,Kidney,Renal Cell Carcinoma,Transitional Cell,ACH-000792,BFTC909,Kidney Cancer
TRUE,Gastric,Gastric Adenocarcinoma,,ACH-001017,BGC823,Gastric Cancer
TRUE,Thyroid,Thyroid Carcinoma,Papillary,ACH-000191,BHT101,Thyroid Cancer
TRUE,Upper Aerodigestive,Upper Aerodigestive Squamous,Oral,ACH-000548,BHY,Head and Neck Cancer
TRUE,Upper Aerodigestive,Upper Aerodigestive Squamous,Oral,ACH-001331,BICR10,Head and Neck Cancer
TRUE,Upper Aerodigestive,Upper Aerodigestive Squamous,Oral,ACH-000503,BICR16,Head and Neck Cancer
TRUE,Upper Aerodigestive,Upper Aerodigestive Squamous,,ACH-000992,BICR18,Head and Neck Cancer
TRUE,Upper Aerodigestive,Upper Aerodigestive Squamous,Oral,ACH-000794,BICR22,Head and Neck Cancer
TRUE,Upper Aerodigestive,Upper Aerodigestive Squamous,Oral,ACH-000228,BICR31,Head and Neck Cancer
TRUE,Upper Aerodigestive,Upper Aerodigestive Squamous,Oral,ACH-000771,BICR56,Head and Neck Cancer
TRUE,Upper Aerodigestive,Upper Aerodigestive Squamous,Oral,ACH-000415,BICR6,Head and Neck Cancer
TRUE,Upper Aerodigestive,Upper Aerodigestive Squamous,Oral,ACH-001332,BICR78,Head and Neck Cancer
TRUE,Ovary,SCCOHT,,ACH-001278,BIN67,Ovarian Cancer
TRUE,Fibroblast,,,ACH-001018,BJHTERT,Fibroblast
TRUE,Lymphocyte,Non Hodgkin Lymphoma,B-cell Burkitt,ACH-000245,BL41,Lymphoma
TRUE,Lymphocyte,Non Hodgkin Lymphoma,B-cell Burkitt,ACH-000402,BL70,Lymphoma
TRUE,Lymphocyte,Non Hodgkin Lymphoma,B-cell Burkitt,ACH-001450,BLUE1,Lymphoma
TRUE,Cervix,Cervical Squamous,,ACH-001451,BOKU,Cervical Cancer
TRUE,Blood,Hairy Cell Leukemia,,ACH-001452,BONNA12,Leukemia
TRUE,Prostate,Prostate Hyperplasia,,ACH-001453,BPH1,Prostate Cancer
TRUE,Soft Tissue,ATRT,,ACH-000160,BT12,Rhabdoid
TRUE,Soft Tissue,ATRT,,ACH-001020,BT16,Rhabdoid
TRUE,Breast,Breast Ductal Carcinoma,ERneg HER2neg,ACH-000536,BT20,Breast Cancer
TRUE,Breast,Breast Ductal Carcinoma,ERpos HER2pos,ACH-000927,BT474,Breast Cancer
TRUE,Breast,Breast Ductal Carcinoma,ERpos HER2neg,ACH-000818,BT483,Breast Cancer
TRUE,Breast,Breast Ductal Carcinoma,ERneg HER2neg,ACH-000288,BT549,Breast Cancer
TRUE,Blood,CML,Blast Crisis,ACH-000432,BV173,Leukemia
TRUE,Pancreas,Exocrine,Exocrine Adenocarcinoma,ACH-000535,BXPC3,Pancreatic Cancer
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-001454,C10,Colon/Colorectal Cancer
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-001456,C125PM,Colon/Colorectal Cancer
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-000009,C2BBE1,Colon/Colorectal Cancer
TRUE,Skin,Melanoma,Amelanotic,ACH-000580,C32,Skin Cancer
TRUE,Cervix,Cervical Carcinoma,,ACH-001333,C33A,Cervical Cancer
TRUE,Bone,Osteosarcoma,,ACH-001818,C396,Bone Cancer
TRUE,Liver,Hepatocellular Carcinoma,,ACH-001021,C3A,Liver Cancer
TRUE,Cervix,Cervical Carcinoma,,ACH-001334,C4I,Cervical Cancer
TRUE,Cervix,Cervical Carcinoma,,ACH-001335,C4II,Cervical Cancer
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-001458,C75,Colon/Colorectal Cancer
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-001459,C80,Colon/Colorectal Cancer
TRUE,Lymphocyte,ATL,,ACH-000206,C8166,Lymphoma
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-001460,C84,Colon/Colorectal Cancer
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-001461,C99,Colon/Colorectal Cancer
TRUE,Lymphocyte,Non Hodgkin Lymphoma,B-cell Burkitt,ACH-000440,CA46,Lymphoma
TRUE,Upper Aerodigestive,Upper Aerodigestive Carcinoma,Gingival,ACH-002043,CA922,Head and Neck Cancer
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-000003,CACO2,Colon/Colorectal Cancer
TRUE,Bone,Ewing Sarcoma,,ACH-000210,CADOES1,Bone Cancer
TRUE,Kidney,Renal Cell Carcinoma,Clear Cell,ACH-000433,CAKI1,Kidney Cancer
TRUE,Kidney,Renal Cell Carcinoma,Clear Cell,ACH-000234,CAKI2,Kidney Cancer
TRUE,Breast,Breast Carcinoma,ERneg HER2neg,ACH-000212,CAL120,Breast Cancer
TRUE,Lung,NSCLC,,ACH-000826,CAL12T,Lung Cancer
TRUE,Breast,Breast Ductal Carcinoma,ERneg HER2neg,ACH-000902,CAL148,Breast Cancer
TRUE,Upper Aerodigestive,Upper Aerodigestive Squamous,,ACH-000832,CAL27,Head and Neck Cancer
TRUE,Urinary Tract,Bladder Carcinoma,Bladder Transitional Cell,ACH-000142,CAL29,Bladder Cancer
TRUE,Upper Aerodigestive,Upper Aerodigestive Squamous,Oral,ACH-000518,CAL33,Head and Neck Cancer
TRUE,Skin,Skin Squamous,,ACH-002091,CAL39,Skin Cancer
TRUE,Breast,Breast Carcinoma,ERneg HER2neg,ACH-000856,CAL51,Breast Cancer
TRUE,Kidney,Renal Cell Carcinoma,,ACH-000457,CAL54,Kidney Cancer
TRUE,Thyroid,Thyroid Carcinoma,Anaplastic,ACH-000174,CAL62,Thyroid Cancer
TRUE,Bone,Osteosarcoma,,ACH-001715,CAL72,Bone Cancer
TRUE,Bone,Chondrosarcoma,,ACH-000516,CAL78,Bone Cancer
TRUE,Breast,Breast Carcinoma,ERneg HER2neg,ACH-000857,CAL851,Breast Cancer
TRUE,Lung,NSCLC,NSCLC Squamous,ACH-000511,CALU1,Lung Cancer
TRUE,Lung,NSCLC,NSCLC Adenocarcinoma,ACH-000392,CALU3,Lung Cancer
TRUE,Lung,NSCLC,,ACH-000264,CALU6,Lung Cancer
TRUE,Breast,Breast Carcinoma,ERpos HER2neg,ACH-000783,CAMA1,Breast Cancer
TRUE,Ovary,Ovary Adenocarcinoma,High Grade Serous,ACH-000713,CAOV3,Ovarian Cancer
TRUE,Ovary,Ovary Adenocarcinoma,High Grade Serous,ACH-000103,CAOV4,Ovarian Cancer
TRUE,Pancreas,Exocrine,Exocrine Adenocarcinoma,ACH-000354,CAPAN1,Pancreatic Cancer
TRUE,Pancreas,Exocrine,Exocrine Adenocarcinoma,ACH-000107,CAPAN2,Pancreatic Cancer
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-002345,CAR1,Colon/Colorectal Cancer
TRUE,Central Nervous System,Glioma,Glioblastoma,ACH-000464,CAS1,Brain Cancer
TRUE,Cervix,Cervical Squamous,,ACH-001336,CASKI,Cervical Cancer
TRUE,Bone,Ewing Sarcoma,,ACH-001022,CBAGPN,Bone Cancer
TRUE,Central Nervous System,Glioma,Astrocytoma,ACH-000329,CCFSTTG1,Brain Cancer
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-000963,CCK81,Colon/Colorectal Cancer
TRUE,Kidney,Renal Cell Carcinoma,Renal Medullary Carcinoma,ACH-001163,CCLFPEDS0001T,Kidney Cancer
TRUE,Soft Tissue,Undifferentiated Sarcoma,,ACH-001164,CCLFPEDS0003T,Sarcoma
TRUE,Soft Tissue,Epithelioid Sarcoma,,ACH-001433,CCLFPEDS0008T,Sarcoma
TRUE,Fibroblast,Fibroblast Soft Tissue,Alveolar,ACH-001767,CCLFPEDS0018T,Fibroblast
TRUE,Gastric,Gastric Adenocarcinoma,,ACH-002446,CCLFUPGI0005T,Gastric Cancer
TRUE,Bile Duct,Cholangiocarcinoma,Intrahepatic,ACH-001959,CCLP1,Bile Duct Cancer
TRUE,Blood,ALL,T-cell,ACH-001738,CCRFCEM,Leukemia
TRUE,Bile Duct,Cholangiocarcinoma,Intrahepatic,ACH-001960,CCSW1,Bile Duct Cancer
TRUE,Blood,AML,,ACH-002218,CESS,Leukemia
TRUE,Pancreas,Exocrine,Exocrine Adenocarcinoma,ACH-000138,CFPAC1,Pancreatic Cancer
TRUE,Thyroid,Thyroid Carcinoma,Follicular,ACH-001023,CGTHW1,Thyroid Cancer
TRUE,Central Nervous System,Meningioma,,ACH-000025,CH157MN,Brain Cancer
TRUE,Lung,NSCLC,,ACH-000867,CHAGOK1,Lung Cancer
TRUE,Skin,Melanoma,,ACH-001024,CHL1,Skin Cancer
TRUE,Soft Tissue,ATRT,,ACH-001028,CHLA06ATRT,Rhabdoid
TRUE,Bone,Ewing Sarcoma,,ACH-001029,CHLA10,Bone Cancer
TRUE,Peripheral Nervous System,Neuroblastoma,,ACH-001300,CHLA15,Neuroblastoma
TRUE,Bone,Ewing Sarcoma,,ACH-001030,CHLA218,Bone Cancer
TRUE,Bone,Ewing Sarcoma,,ACH-001282,CHLA258,Bone Cancer
TRUE,Soft Tissue,ATRT,,ACH-001031,CHLA266,Rhabdoid
TRUE,Bone,Ewing Sarcoma,,ACH-001032,CHLA32,Bone Cancer
TRUE,Bone,Ewing Sarcoma,,ACH-001033,CHLA57,Bone Cancer
TRUE,Bone,Ewing Sarcoma,,ACH-001034,CHLA9,Bone Cancer
TRUE,Bone,Ewing Sarcoma,,ACH-001035,CHLA99,Bone Cancer
TRUE,Peripheral Nervous System,Neuroblastoma,,ACH-000136,CHP126,Neuroblastoma
TRUE,Peripheral Nervous System,Neuroblastoma,,ACH-001338,CHP134,Neuroblastoma
TRUE,Peripheral Nervous System,Neuroblastoma,,ACH-000120,CHP212,Neuroblastoma
TRUE,Bone,Chondrosarcoma,,ACH-002092,CHSA0011,Bone Cancer
TRUE,Bone,Chondrosarcoma,,ACH-002093,CHSA0108,Bone Cancer
TRUE,Bone,Chondrosarcoma,,ACH-002094,CHSA8926,Bone Cancer
TRUE,Blood,Unspecified Leukemia,B-cell,ACH-001484,CI,Leukemia
TRUE,Lymphocyte,Non Hodgkin Lymphoma,B-cell,ACH-000687,CI1,Lymphoma
TRUE,Blood,Unspecified Leukemia,B-cell,ACH-001485,CII,Leukemia
TRUE,Skin,Melanoma,,ACH-000458,CJM,Skin Cancer
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-000249,CL11,Colon/Colorectal Cancer
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-000342,CL14,Colon/Colorectal Cancer
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-000895,CL34,Colon/Colorectal Cancer
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-000798,CL40,Colon/Colorectal Cancer
TRUE,Soft Tissue,Synovial Sarcoma,,ACH-001322,CME1,Sarcoma
TRUE,Blood,AML,M7,ACH-000641,CMK,Leukemia
TRUE,Blood,AML,,ACH-001036,CMK115,Leukemia
TRUE,Blood,AML,,ACH-001037,CMK86,Leukemia
TRUE,Blood,CML,Blast Crisis,ACH-000920,CMLT1,Leukemia
TRUE,Soft Tissue,ATRT,,ACH-001289,COGAR359,Rhabdoid
TRUE,Bone,Ewing Sarcoma,,ACH-001038,COGE352,Bone Cancer
TRUE,Peripheral Nervous System,Neuroblastoma,,ACH-001301,COGN278,Neuroblastoma
TRUE,Peripheral Nervous System,Neuroblastoma,,ACH-001302,COGN305,Neuroblastoma
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-000253,COLO201,Colon/Colorectal Cancer
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-001039,COLO205,Colon/Colorectal Cancer
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-000202,COLO320,Colon/Colorectal Cancer
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-002219,COLO320HSR,Colon/Colorectal Cancer
TRUE,Lung,SCLC,,ACH-000803,COLO668,Lung Cancer
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-000350,COLO678,Colon/Colorectal Cancer
TRUE,Skin,Melanoma,,ACH-000805,COLO679,Skin Cancer
TRUE,Esophagus,Esophagus Squamous,,ACH-000717,COLO680N,Esophageal Cancer
TRUE,Uterus,Endometrial Adenocarcinoma,,ACH-000864,COLO684,Endometrial/Uterine Cancer
TRUE,Lung,NSCLC,NSCLC Adenocarcinoma,ACH-001041,COLO699,Lung Cancer
TRUE,Ovary,Ovary Adenocarcinoma,,ACH-001042,COLO704,Ovarian Cancer
TRUE,Skin,Melanoma,,ACH-000582,COLO741,Skin Cancer
TRUE,Plasma Cell,Multiple Myeloma,,ACH-001043,COLO775,Myeloma
TRUE,Skin,Melanoma,,ACH-000812,COLO783,Skin Cancer
TRUE,Skin,Melanoma,,ACH-000968,COLO792,Skin Cancer
TRUE,Skin,Melanoma,,ACH-001339,COLO794,Skin Cancer
TRUE,Skin,Melanoma,,ACH-000401,COLO800,Skin Cancer
TRUE,Skin,Melanoma,,ACH-001044,COLO818,Skin Cancer
TRUE,Breast,,,ACH-001820,COLO824,Breast Cancer
TRUE,Skin,Melanoma,,ACH-000644,COLO829,Skin Cancer
TRUE,Unknown,,,ACH-002380,COLO829BL,Unknown
TRUE,Skin,Melanoma,,ACH-001045,COLO849,Skin Cancer
TRUE,Lung,NSCLC,NSCLC Adenocarcinoma,ACH-000161,CORL105,Lung Cancer
TRUE,Lung,NSCLC,NSCLC Large Cell,ACH-000662,CORL23,Lung Cancer
TRUE,Lung,SCLC,,ACH-000382,CORL24,Lung Cancer
TRUE,Lung,SCLC,,ACH-000257,CORL279,Lung Cancer
TRUE,Lung,SCLC,,ACH-002095,CORL303,Lung Cancer
TRUE,Lung,SCLC,,ACH-000187,CORL311,Lung Cancer
TRUE,Lung,NSCLC,NSCLC Squamous,ACH-001489,CORL32,Lung Cancer
TRUE,Lung,Lung Carcinoma,,ACH-001490,CORL321,Lung Cancer
TRUE,Lung,SCLC,,ACH-000695,CORL47,Lung Cancer
TRUE,Lung,SCLC,,ACH-001047,CORL51,Lung Cancer
TRUE,Lung,SCLC,,ACH-000508,CORL88,Lung Cancer
TRUE,Lung,SCLC,,ACH-000743,CORL95,Lung Cancer
TRUE,Ovary,Ovary Adenocarcinoma,High Grade Serous,ACH-000256,COV318,Ovarian Cancer
TRUE,Ovary,Ovary Adenocarcinoma,High Grade Serous,ACH-000278,COV362,Ovarian Cancer
TRUE,Ovary,Ovary Carcinoma,,ACH-001340,COV413A,Ovarian Cancer
TRUE,Ovary,Ovary Adenocarcinoma,Endometrioid,ACH-000123,COV434,Ovarian Cancer
TRUE,Ovary,Ovary Adenocarcinoma,High Grade Serous,ACH-001048,COV504,Ovarian Cancer
TRUE,Ovary,Ovary Adenocarcinoma,Mucinous,ACH-000608,COV644,Ovarian Cancer
TRUE,Unknown,,,ACH-002346,CP50EBV,Unknown
TRUE,Skin,Melanoma,,ACH-002096,CP50MELB,Skin Cancer
TRUE,Unknown,,,ACH-002347,CP66EBV,Unknown
TRUE,Skin,Melanoma,,ACH-002097,CP66MEL,Skin Cancer
TRUE,Skin,Melanoma,,ACH-002098,CP67MEL,Skin Cancer
TRUE,Lung,SCLC,,ACH-001049,CPCN,Lung Cancer
TRUE,Lymphocyte,Non Hodgkin Lymphoma,B-cell Primary Effusion,ACH-002220,CROAP2,Lymphoma
TRUE,Lymphocyte,Non Hodgkin Lymphoma,B-cell Primary Effusion,ACH-002393,CROAP3,Lymphoma
TRUE,Bone,Chondrosarcoma,,ACH-002099,CS1,Bone Cancer
TRUE,Lymphocyte,Non Hodgkin Lymphoma,DLBCL,ACH-002221,CTB1,Lymphoma
TRUE,Blood,ALL,T-cell,ACH-002222,CTV1,Leukemia
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-000998,CW2,Colon/Colorectal Cancer
TRUE,Soft Tissue,Rhabdomyosarcoma,Alveolar,ACH-001050,CW9019,Sarcoma
TRUE,Central Nervous System,Glioma,Glioblastoma,ACH-002223,D245MG,Brain Cancer
TRUE,Central Nervous System,Glioma,Glioblastoma,ACH-002224,D247MG,Brain Cancer
TRUE,Central Nervous System,Glioma,Glioblastoma,ACH-002225,D263MG,Brain Cancer
TRUE,Central Nervous System,Medulloblastoma,Med Group 3,ACH-000055,D283MED,Brain Cancer
TRUE,Central Nervous System,Glioma,Glioblastoma,ACH-002226,D336MG,Brain Cancer
TRUE,Central Nervous System,Medulloblastoma,Med Group 3,ACH-000095,D341,Brain Cancer
TRUE,Central Nervous System,Medulloblastoma,Med Group 3,ACH-001052,D384,Brain Cancer
TRUE,Central Nervous System,Glioma,Glioblastoma,ACH-002227,D392MG,Brain Cancer
TRUE,Central Nervous System,Glioma,Glioblastoma,ACH-002228,D423MG,Brain Cancer
TRUE,Central Nervous System,Medulloblastoma,Med Group 3,ACH-001053,D425,Brain Cancer
TRUE,Central Nervous System,Medulloblastoma,Med Group 3,ACH-001054,D458,Brain Cancer
TRUE,Central Nervous System,Glioma,Glioblastoma,ACH-002229,D502MG,Brain Cancer
TRUE,Central Nervous System,Glioma,Glioblastoma,ACH-002230,D542MG,Brain Cancer
TRUE,Central Nervous System,Medulloblastoma,,ACH-001055,D556,Brain Cancer
TRUE,Central Nervous System,Glioma,Glioblastoma,ACH-002231,D566MG,Brain Cancer
TRUE,Pancreas,Exocrine,Exocrine Adenocarcinoma,ACH-000243,DANG,Pancreatic Cancer
TRUE,Central Nervous System,Medulloblastoma,,ACH-000211,DAOY,Brain Cancer
TRUE,Lymphocyte,Non Hodgkin Lymphoma,B-cell Burkitt,ACH-000786,DAUDI,Lymphoma
TRUE,Lymphocyte,Non Hodgkin Lymphoma,DLBCL,ACH-000334,DB,Lymphoma
TRUE,Central Nervous System,Glioma,Glioblastoma,ACH-000863,DBTRG05MG,Brain Cancer
TRUE,Lymphocyte,Non Hodgkin Lymphoma,T-cell ALCL,ACH-000233,DEL,Lymphoma
TRUE,Lymphocyte,Lymphoma Unspecified,T-cell,ACH-001057,DERL2,Lymphoma
TRUE,Upper Aerodigestive,Upper Aerodigestive Squamous,Pharynx,ACH-000207,DETROIT562,Head and Neck Cancer
TRUE,Lymphocyte,Non Hodgkin Lymphoma,B-cell Burkitt,ACH-002232,DG75,Lymphoma
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-002233,DIFI,Colon/Colorectal Cancer
TRUE,Unknown,,,ACH-002348,DIPG007,Unknown
TRUE,Skin,Skin Squamous,,ACH-002100,DJM1,Skin Cancer
TRUE,Central Nervous System,Glioma,Glioblastoma,ACH-000244,DKMG,Brain Cancer
TRUE,Soft Tissue,Malignant Rhabdoid Tumor,,ACH-001059,DL,Rhabdoid
TRUE,Lymphocyte,Lymphoma Unspecified,T-cell,ACH-001060,DL40,Lymphoma
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-001061,DLD1,Colon/Colorectal Cancer
TRUE,Fibroblast,Fibroblast Lung,,ACH-000742,DM3,Fibroblast
TRUE,Lung,SCLC,,ACH-000530,DMS114,Lung Cancer
TRUE,Lung,SCLC,,ACH-000594,DMS153,Lung Cancer
TRUE,Lung,SCLC,,ACH-000749,DMS273,Lung Cancer
TRUE,Lung,SCLC,,ACH-000844,DMS454,Lung Cancer
TRUE,Lung,SCLC,,ACH-000698,DMS53,Lung Cancer
TRUE,Lung,SCLC,,ACH-000703,DMS79,Lung Cancer
TRUE,Blood,ALL,T-cell,ACH-000981,DND41,Leukemia
TRUE,Lymphocyte,Non Hodgkin Lymphoma,DLBCL,ACH-000056,DOHH2,Lymphoma
TRUE,Upper Aerodigestive,,,ACH-002234,DOK,Head and Neck Cancer
